# Age-of-acquisition ratings: the average age, in years, at which people
# report having learned a word.
#
# Kuperman, V., Stadthagen-Gonzalez, H., & Brysbaert, M. (2012).
# Age-of-acquisition ratings for 30,000 English words.
# Behavior Research Methods 44(4), 978-990.
#
# This is the subset republished in the CLDF/NoRaRe cross-linguistic norms
# collection (concepticon/norare-data, Kuperman-2012-AoA), which covers the
# basic vocabulary rather than the full 30,000 - which is the half that
# matters here anyway. Vendored so the dictionary build stays offline and
# reproducible.
#
# word age
death 5.37
debt 10.44
decay 8.79
deceit 10.95
deceive 8.68
decide 7.20
decorate 7.00
decrease 8.56
deep 5.47
deer 5.17
defeat 8.74
defecate 13.20
defect 10.26
defend 8.16
defendant 11.42
deity 13.00
deliver 6.63
demon 7.16
dense 10.20
dentist 5.22
deny 7.80
depend 8.50
depressed 9.47
depression 10.71
depth 9.72
descend 9.19
descendant 9.61
desert 8.35
desire 9.95
despise 12.38
destroy 6.70
detect 9.53
devil 5.00
dew 7.37
dialect 11.50
diamond 6.47
die 4.53
different 5.50
difficult 5.85
dig 4.19
diligent 11.78
dilute 12.11
diminish 10.95
dingo 11.29
dinner 3.99
dinosaur 4.91
dip 7.00
direction 6.68
dirt 3.83
dirty 4.55
disappear 5.37
disappointment 8.32
discipline 7.70
disease 7.55
disgrace 8.22
disgust 7.68
disgusting 6.06
dish 4.89
disobedient 6.63
dispute 12.05
distance 6.81
disturb 8.22
ditch 6.22
dive 7.21
divide 7.16
divorce 8.90
dizzy 5.50
do 3.60
doctor 4.60
dog 2.80
doll 3.68
dolphin 6.05
dominoes 7.70
donate 8.20
donkey 6.00
door 3.05
doorknob 4.70
doorpost 7.56
doubt 8.79
dough 6.63
dove 6.63
down 4.93
dowry 14.59
drag 8.84
dragon 5.58
dragonfly 6.80
draw 4.11
dreadful 6.78
dream 4.88
dress 4.05
dribble 6.50
drill 7.14
drink 3.47
drip 5.89
drive 5.26
drizzle 7.56
drop 3.26
drown 7.00
drum 4.63
drunk 9.26
dry 4.11
duck 3.50
dull 8.05
dumb 4.50
dummy 5.17
dung 11.05
dusk 8.74
dust 5.06
dustpan 6.47
duty 7.15
dwell 10.78
dye 7.56
each 4.95
eagle 5.83
ear 3.63
earlobe 6.00
early 5.31
earn 7.57
earring 7.17
earth 5.37
earthquake 7.53
earthworm 5.35
earwax 6.39
east 6.94
easy 5.43
eat 2.78
echo 8.00
eclipse 10.21
edge 6.17
eel 6.47
effect 9.26
egg 3.89
eggplant 8.30
eggshell 7.11
eight 5.36
eighty 5.87
elbow 4.78
elder 7.67
election 9.17
electricity 6.60
elephant 4.80
elevation 9.95
elevator 5.47
eleven 5.78
elf 4.32
elk 7.05
elm 9.06
ember 10.50
emotion 6.37
emotional 9.45
emperor 7.44
empty 4.79
emu 9.00
encounter 8.63
end 4.28
endure 10.70
enemy 7.26
engine 6.28
enough 6.96
enter 5.67
envelope 6.25
envy 8.37
equal 6.47
erupt 8.26
escalator 7.11
escape 6.60
estuary 14.13
evening 5.84
everywhere 5.61
evil 6.71
ewe 9.31
exact 8.16
exchange 8.35
excited 6.21
excitement 7.20
excrement 12.11
excreta 12.80
expensive 6.33
explain 6.50
explode 7.00
extinguish 8.95
eye 3.75
eyeball 3.83
eyebrow 5.50
eyelash 5.80
eyelid 6.33
face 3.75
fade 6.95
fail 6.00
faint 7.53
fairy 5.17
faithful 8.42
falcon 7.42
fall 4.71
false 6.72
fame 7.26
familiar 7.21
family 3.38
famine 10.00
fan 5.63
far 4.88
farewell 8.43
farm 3.85
farmer 4.74
fart 5.78
fast 3.74
fasten 7.26
fat 5.15
fate 10.30
father 4.11
fathom 11.44
fatigue 11.83
fatness 8.61
fatty 6.37
fault 6.94
fear 4.79
feather 4.67
feed 4.17
feel 5.11
fell 3.28
felt 6.10
female 5.89
fence 6.28
fern 8.67
ferry 8.00
festival 8.39
fetch 6.61
fever 5.84
few 6.00
field 6.10
fifteen 6.10
fifty 5.55
fig 8.06
fight 5.47
file 8.21
fill 5.06
fin 7.30
finch 8.91
find 5.78
fine 7.44
finger 3.43
fingernail 4.00
fingertip 6.00
finish 6.32
fir 8.75
fire 3.25
firefly 6.39
fireplace 7.37
firewood 6.61
first 4.39
fish 4.05
fishbone 7.64
fisherman 5.16
fishhook 6.84
fishing 4.72
fishnet 10.55
fist 4.58
five 4.51
fix 5.00
flag 5.33
flail 12.19
flame 6.25
flamingo 6.32
flat 5.68
flatter 9.53
flavor 6.30
flax 12.45
flea 7.79
flee 8.33
flesh 8.30
flexible 7.58
flirt 8.68
float 5.39
flock 7.18
flood 6.58
floor 4.44
floral 8.84
flour 6.89
flow 7.40
flower 3.11
flute 8.47
fly 3.05
foam 6.15
fodder 14.00
fog 6.21
foggy 7.11
fold 4.95
folksong 7.33
follow 5.11
food 3.25
fool 7.56
foot 3.44
footprint 5.78
forbid 8.47
ford 8.10
forearm 8.65
forefinger 7.26
forehead 5.58
foreign 8.74
forest 6.28
forge 9.80
forget 4.78
forgive 5.44
fork 3.63
former 8.45
forty 6.53
forward 4.24
fountain 7.17
four 4.93
fowl 7.89
fox 5.02
fragrant 9.58
frame 7.67
freckle 5.61
free 5.21
freeman 11.38
freeze 4.89
fresh 6.22
friend 3.57
friendship 5.62
frighten 8.83
fringe 9.61
frog 4.32
from 4.44
front 5.19
frost 5.21
fruit 3.63
fry 5.79
full 4.24
funeral 7.28
funnel 8.44
funny 5.47
fur 5.22
furrow 13.00
future 7.16
game 4.26
gap 8.22
garbage 4.89
garden 5.33
garlic 6.89
gate 5.32
gather 6.50
gazelle 9.37
gecko 10.32
gelding 12.60
generous 7.22
genitalia 11.84
gentle 4.89
get 3.17
ghost 5.06
gift 5.05
gill 7.39
ginger 8.05
giraffe 5.00
girl 4.00
give 4.28
glass 4.47
glasses 4.35
globe 6.50
gloomy 9.28
glove 4.30
glue 4.67
glutton 12.22
gnaw 10.37
go 3.37
goanna 13.67
goat 5.21
god 4.35
goiter 16.00
gold 7.10
gong 9.62
good 3.55
goods 7.44
goose 5.15
gorilla 5.74
gossip 9.16
gourd 10.65
govern 9.53
government 8.50
grain 7.44
granary 11.38
grandchild 5.26
granddaughter 4.68
grandfather 4.39
grandmother 3.67
grandparent 5.50
grandson 5.89
grape 3.94
grapefruit 6.90
grasp 8.20
grass 3.94
grasshopper 5.78
grate 8.90
grave 7.06
gravel 7.19
gray 5.74
graze 8.90
greasy 6.39
greedy 7.53
green 3.79
greet 6.47
grief 8.39
grind 8.37
grindstone 11.47
groan 8.70
groom 7.78
ground 4.89
grow 4.79
growl 5.79
grub 8.95
gruel 11.60
guard 6.25
guava 12.39
guess 5.44
guest 6.21
guilty 8.05
guitar 5.32
gulf 9.37
gum 4.89
gun 5.58
gunpowder 9.74
guts 6.96
hail 7.90
hair 3.17
half 5.45
hammer 5.42
hammock 7.11
hamster 4.37
hand 2.74
handkerchief 7.22
handle 6.30
handsome 6.50
hang 6.68
happen 5.26
happiness 6.17
happy 2.72
hard 4.39
hardly 7.54
hare 6.78
harmonica 7.32
harp 7.55
harvest 7.40
hat 3.33
hatch 7.00
hate 5.53
have 3.72
hawk 6.74
hawthorn 10.36
hay 5.32
he 3.81
head 3.42
headache 6.71
headband 6.33
headdress 9.06
headgear 10.78
headwaters 13.00
healthy 7.61
heap 7.79
hear 3.80
hearing 6.05
heart 5.17
heat 5.33
heaven 4.22
heavy 4.05
hedgehog 8.63
heel 7.85
height 5.42
helicopter 5.26
hell 5.11
hello 3.76
helmet 5.71
help 3.65
hemp 12.94
hen 6.39
hence 11.09
her 5.09
herb 9.05
herd 7.74
herdsman 9.61
here 3.74
heron 10.35
hesitate 8.30
hiccough 10.20
hide 4.47
high 4.58
hill 3.47
hinder 11.10
hip 6.17
hippopotamus 7.00
hire 9.00
his 3.69
hiss 6.33
hit 4.75
hitchhike 9.53
hither 13.07
hoarse 7.95
hoe 8.72
hold 4.67
hole 5.05
hollow 7.44
holy 5.55
home 3.87
honest 5.46
honey 5.44
honeycomb 7.11
honor 7.89
hoof 6.90
hook 6.26
hope 4.89
horizon 8.30
horizontal 8.15
horn 4.84
hornet 7.28
horse 4.15
hospital 5.55
host 8.05
hostility 11.47
hot 3.37
hound 5.74
hour 5.85
house 3.16
how 5.36
howl 5.55
hug 2.58
humid 8.56
hummingbird 6.95
hump 6.11
hunchback 8.63
hundred 5.47
hunger 6.06
hungry 3.63
hunt 6.06
hunter 6.53
hurry 4.44
hurt 4.00
husband 5.53
husk 8.63
hut 8.10
hyena 6.61
i 2.79
ice 3.86
idea 5.95
identical 8.72
identity 9.45
idle 8.90
idol 8.37
if 5.36
igloo 5.42
ignite 9.82
ignorant 9.50
ignore 6.74
iguana 7.61
imagine 6.06
imitate 9.20
immediately 6.77
impatient 7.39
important 5.79
improve 7.47
in 3.69
incense 10.45
incisor 10.70
increase 7.42
inflated 9.50
infringe 14.56
inhale 7.26
inherit 9.05
injure 7.53
ink 5.16
innocent 5.95
insect 4.75
insert 8.20
inside 4.77
insolent 13.47
instantly 7.54
instead 6.68
instep 12.00
insult 8.63
intact 9.84
intelligent 8.28
intention 9.42
interest 7.37
interpreter 11.00
intestine 9.28
investigate 9.00
invite 6.79
iron 7.32
irrigate 9.28
island 7.41
it 4.40
itch 5.05
itchy 5.16
item 5.68
ivory 9.39
jackal 12.17
jacket 3.95
jaguar 7.78
jaw 5.33
jealous 7.42
jealousy 7.61
jellyfish 6.61
jewel 6.22
jingle 5.21
jog 6.21
join 5.83
joint 9.05
joke 5.20
journey 7.67
joy 6.74
judge 8.85
judgment 8.94
jug 5.83
juice 4.40
jump 2.84
jungle 5.26
just 7.01
kangaroo 5.55
kapok 14.50
keen 10.70
keep 4.42
kettle 8.06
key 3.58
khaki 9.89
kick 4.06
kid 4.28
kidney 9.33
kids 3.86
kill 6.35
kind 4.89
kindness 6.26
king 5.42
kingfisher 12.73
kiss 3.61
kitchen 3.68
kiwi 7.56
knead 8.80
knee 4.42
kneel 6.95
knife 4.15
knit 7.86
knock 4.63
knot 6.05
know 4.50
knowledge 7.68
knuckle 5.94
lack 8.28
ladder 4.40
ladle 9.83
lady 3.68
ladybug 4.84
lagoon 9.42
lair 11.63
lake 4.61
lamb 4.15
lame 9.21
lamp 4.00
land 5.22
landscape 9.89
language 6.79
lantern 8.55
lap 3.15
larch 13.64
lard 9.74
lariat 14.08
larynx 12.72
last 4.35
latch 8.00
late 5.28
laugh 3.79
laughter 5.39
launder 10.12
lavish 10.76
law 8.33
lawn 5.45
lay 5.84
lazy 6.39
lead 6.76
leaf 4.60
leak 5.47
lean 7.17
learn 4.44
leash 5.79
leather 7.25
leave 5.58
ledge 11.05
leech 7.84
left 5.57
leg 3.00
lemon 4.74
lend 8.45
length 6.05
lengthen 7.84
lentil 13.06
leopard 6.84
leprosy 11.68
let 4.53
letter 4.74
lettuce 4.28
level 6.00
liar 4.89
library 4.95
lick 4.30
lid 5.95
lie 3.75
life 5.89
lift 4.74
light 4.05
lightbulb 5.89
lighter 7.12
lightning 4.76
lightweight 7.95
like 3.69
lilac 8.89
lime 6.61
limp 7.16
line 4.85
linen 7.68
lion 4.42
lip 3.79
lipstick 5.42
liquid 5.83
liquor 8.40
listen 5.40
live 6.10
liver 8.56
livestock 7.89
lizard 5.42
load 7.78
lobster 7.44
lock 5.74
locust 8.67
logic 10.58
loin 11.06
loincloth 9.67
long 4.24
look 4.05
loom 8.78
loose 7.71
loosen 7.22
lord 5.95
lose 5.78
lotus 13.59
loud 4.54
louse 10.26
love 5.17
lovely 7.26
low 4.70
luck 6.53
lunatic 9.83
lunch 3.61
lung 7.16
lynx 10.53
macaw 8.80
machete 9.60
machine 6.53
mad 3.55
magenta 7.79
maggot 9.50
magic 5.52
magician 5.37
magpie 10.47
mail 4.65
main 6.55
mainland 11.63
make 4.68
malaria 12.33
male 5.63
mallard 9.94
man 3.11
manage 7.67
manatee 10.56
mane 5.60
mango 8.22
mangrove 14.53
manner 6.83
mantis 9.28
many 4.60
map 5.60
maple 5.94
mare 8.84
market 7.16
marmot 13.91
marriage 7.17
marrow 12.16
marry 5.83
marsh 10.63
marten 10.14
mask 4.80
mason 10.52
massage 10.90
mast 10.59
master 6.50
mat 4.62
match 5.72
matter 7.56
mattress 5.10
me 3.28
mead 11.38
meadow 6.89
meal 4.74
meaning 6.10
measles 9.28
measure 7.53
meat 4.42
medicine 4.89
meet 4.74
melon 4.21
melt 5.47
member 8.20
memory 6.40
menstruate 12.67
menstruation 10.39
merchant 9.80
message 6.32
metal 5.61
meteor 7.67
method 11.15
microphone 6.25
microscope 9.16
middle 4.70
midnight 6.21
midwife 10.89
mighty 5.63
migrate 9.62
milk 3.37
mill 8.17
millet 14.08
million 6.47
mind 5.37
minister 7.42
miracle 6.80
mirror 4.89
misery 9.22
misfortune 10.53
miss 6.33
mistake 5.78
mix 5.11
moisten 9.28
molar 8.12
mold 9.26
mole 7.33
money 5.11
mongoose 9.94
monkey 4.21
